,EVs Charging,EVs Activated,EVs Travelling,EVs Queued,EVs Charge Level,EVs Currently charging,EVs Not Idle,EOD Battery SOC,EVs Destinations,EVs at Charging Station - F,EVs at Charging Station - S,Length of Queue 1 at Charging Stations,Length of Queue 2 at Charging Stations
10,2,50,5,10,"[42.0, 24.5, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 20.0, 47.0, 44.0, 44.0, 52.0, 8.0, 31.0, 36.0, 33.0, 9.0, 49.0, 16.0, 33.0, 4.0, 9.0, 7.0, 33.0, 7.0, 41.0, 34.0, 42.0, 44.0, 39.0, 3.0, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 27.0, 44.0, 38.0, 5.0, 7.0]",0,26,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,12,"[0, 2, 2, 0, 0]","[0, 1, 2, 0, 0]"
11,2,50,5,10,"[40.0, 14.5, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 27.5, 54.5, 44.0, 42.0, 59.5, 8.0, 31.0, 36.0, 33.0, 9.0, 49.0, 23.5, 33.0, 4.0, 9.0, 7.0, 33.0, 7.0, 41.0, 34.0, 42.0, 44.0, 37.0, 3.0, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 25.0, 44.0, 38.0, 5.0, 7.0]",0,26,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,12,"[0, 2, 2, 0, 0]","[0, 1, 2, 0, 0]"
12,2,50,5,10,"[38.0, 12.0, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 35.0, 54.5, 44.0, 40.0, 59.5, 8.0, 31.0, 36.0, 33.0, 9.0, 49.0, 31.0, 33.0, 4.0, 9.0, 7.0, 33.0, 7.0, 41.0, 34.0, 42.0, 44.0, 35.0, 3.0, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 23.0, 44.0, 38.0, 5.0, 7.0]",0,26,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,12,"[0, 2, 2, 0, 0]","[0, 1, 2, 0, 0]"
13,3,50,1,9,"[36.0, 19.5, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 42.5, 44.5, 44.0, 38.0, 59.5, 15.5, 31.0, 36.0, 33.0, 9.0, 49.0, 38.5, 33.0, 4.0, 9.0, 7.0, 33.0, 14.5, 41.0, 34.0, 42.0, 44.0, 33.0, 3.0, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 21.0, 44.0, 38.0, 5.0, 7.0]",0,22,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,12,"[0, 2, 1, 0, 0]","[0, 1, 1, 0, 0]"
14,2,50,2,9,"[36.0, 27.0, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 42.5, 34.5, 44.0, 38.0, 59.5, 23.0, 31.0, 36.0, 33.0, 9.0, 49.0, 38.5, 33.0, 4.0, 9.0, 7.0, 33.0, 22.0, 41.0, 34.0, 42.0, 44.0, 33.0, 3.0, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 21.0, 44.0, 38.0, 5.0, 7.0]",0,22,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,11,"[0, 2, 1, 0, 0]","[0, 1, 1, 0, 0]"
15,3,50,2,8,"[36.0, 34.5, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 32.5, 24.5, 44.0, 38.0, 59.5, 30.5, 31.0, 36.0, 33.0, 9.0, 49.0, 38.5, 33.0, 4.0, 9.0, 14.5, 33.0, 29.5, 41.0, 34.0, 42.0, 44.0, 33.0, 10.5, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 21.0, 44.0, 38.0, 5.0, 7.0]",0,22,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,11,"[0, 1, 1, 0, 0]","[0, 0, 1, 0, 0]"
16,4,50,1,8,"[36.0, 42.0, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 22.5, 22.0, 44.0, 38.0, 59.5, 38.0, 31.0, 36.0, 33.0, 9.0, 49.0, 38.5, 33.0, 4.0, 9.0, 22.0, 33.0, 37.0, 41.0, 34.0, 42.0, 44.0, 33.0, 18.0, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 21.0, 44.0, 38.0, 5.0, 7.0]",0,22,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,12,"[0, 1, 1, 0, 0]","[0, 0, 1, 0, 0]"
17,3,50,1,8,"[36.0, 42.0, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 12.5, 29.5, 44.0, 38.0, 59.5, 45.5, 31.0, 36.0, 33.0, 9.0, 49.0, 38.5, 33.0, 4.0, 9.0, 29.5, 33.0, 44.5, 41.0, 34.0, 42.0, 44.0, 33.0, 25.5, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 21.0, 44.0, 38.0, 5.0, 7.0]",0,21,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,11,"[0, 1, 1, 0, 0]","[0, 0, 1, 0, 0]"
18,3,50,1,8,"[36.0, 32.0, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 12.5, 37.0, 44.0, 38.0, 59.5, 53.0, 31.0, 36.0, 33.0, 9.0, 49.0, 38.5, 33.0, 4.0, 9.0, 37.0, 33.0, 52.0, 41.0, 34.0, 42.0, 44.0, 33.0, 33.0, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 21.0, 44.0, 38.0, 5.0, 7.0]",0,21,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,11,"[0, 1, 1, 0, 0]","[0, 0, 1, 0, 0]"
19,3,50,1,8,"[36.0, 22.0, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 12.5, 44.5, 44.0, 38.0, 59.5, 60.5, 31.0, 36.0, 33.0, 9.0, 49.0, 38.5, 33.0, 4.0, 9.0, 44.5, 33.0, 59.5, 41.0, 34.0, 42.0, 44.0, 33.0, 40.5, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 21.0, 44.0, 38.0, 5.0, 7.0]",0,21,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,11,"[0, 1, 1, 0, 0]","[0, 0, 1, 0, 0]"
20,1,50,3,8,"[36.0, 12.0, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 12.5, 52.0, 44.0, 38.0, 59.5, 60.5, 31.0, 36.0, 33.0, 9.0, 49.0, 38.5, 33.0, 4.0, 9.0, 44.5, 33.0, 59.5, 41.0, 34.0, 42.0, 44.0, 33.0, 40.5, 30.0, 9.0, 7.0, 31.0, 47.0, 56.0, 1.0, 53.0, 21.0, 44.0, 38.0, 5.0, 7.0]",0,21,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,9,"[0, 1, 1, 0, 0]","[0, 0, 1, 0, 0]"
21,2,50,3,6,"[36.0, 2.0, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 12.5, 52.0, 44.0, 38.0, 59.5, 50.5, 31.0, 36.0, 33.0, 9.0, 49.0, 38.5, 33.0, 4.0, 9.0, 34.5, 33.0, 59.5, 41.0, 34.0, 42.0, 44.0, 33.0, 40.5, 30.0, 9.0, 14.5, 31.0, 47.0, 56.0, 8.5, 53.0, 21.0, 44.0, 38.0, 12.5, 7.0]",0,21,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,8,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
22,2,50,3,6,"[36.0, 2.0, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 12.5, 42.0, 44.0, 38.0, 59.5, 40.5, 31.0, 36.0, 33.0, 9.0, 49.0, 38.5, 33.0, 4.0, 9.0, 24.5, 33.0, 59.5, 41.0, 34.0, 42.0, 44.0, 33.0, 40.5, 30.0, 9.0, 22.0, 31.0, 47.0, 56.0, 16.0, 53.0, 21.0, 44.0, 38.0, 20.0, 7.0]",0,21,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'City C', 'City A', 'City B', 'work', 'City C', 'City B', 'market', 'friend_1', 'friend_1', 'autoshop', 'City B', 'work', 'City B', 'City C', 'autoshop', 'friend_2', 'City A', 'City A', 'work', 'market', 'market', 'City A', 'autoshop', 'City A', 'work', 'City C', 'City B', 'City A', 'work', 'City B', 'market', 'market', 'market', 'autoshop', 'friend_2', 'City B', 'work', 'City C', 'City C', 'work', 'work', 'autoshop', 'City B', 'friend_1', 'friend_2', 'friend_1', 'work', 'City B', 'City C']",13,8,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
23,2,50,3,6,"[36.0, 2.0, 3.0, 1.0, 43.0, 9.0, 3.0, 46.0, 36.0, 51.0, 37.0, 45.5, 46.0, 12.5, 32.0, 44.0, 38.0, 59.5, 30.5, 31.0, 36.0, 33.0, 9.0, 49.0, 38.5, 33.0, 4.0, 9.0, 14.5, 33.0, 59.5, 41.0, 34.0, 42.0, 44.0, 33.0, 40.5, 30.0, 9.0, 29.5, 31.0, 47.0, 56.0, 23.5, 53.0, 21.0, 44.0, 38.0, 27.5, 7.0]",0,21,"[[36.0], [2.0], [3.0], [1.0], [43.0], [9.0], [3.0], [46.0], [36.0], [51.0], [37.0], [45.5], [46.0], [12.5], [32.0], [44.0], [38.0], [59.5], [30.5], [31.0], [36.0], [33.0], [9.0], [49.0], [38.5], [33.0], [4.0], [9.0], [14.5], [33.0], [59.5], [41.0], [34.0], [42.0], [44.0], [33.0], [40.5], [30.0], [9.0], [29.5], [31.0], [47.0], [56.0], [23.5], [53.0], [21.0], [44.0], [38.0], [27.5], [7.0]]","['friend_2', 'market', 'market', 'autoshop', 'City B', 'friend_1', 'City A', 'City B', 'City B', 'City B', 'work', 'City A', 'City B', 'work', 'friend_1', 'market', 'friend_2', 'City C', 'City B', 'friend_2', 'City C', 'work', 'friend_1', 'City B', 'City B', 'City A', 'friend_1', 'City A', 'City A', 'friend_2', 'friend_1', 'City B', 'autoshop', 'City A', 'City C', 'City C', 'City A', 'friend_1', 'City B', 'City C', 'friend_2', 'City B', 'City B', 'City B', 'City A', 'City B', 'City C', 'work', 'market', 'friend_2']",13,8,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
